,Farm Index,Arable Index,Pasture Index,Wood Index,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops Net Tax,Straw,Hay,Cheese,Butter,Milk,Wool,Beef,Mutton,Pork,Bacon,Tallow,Eggs,Firewood,Timber
unit,1860-9 = 100,1860-9 = 100,1860-9 = 100,,s./bu.,s./bu.,s./bu.,s./bu.,s./bu.,s./bu.,s./cwt.,s./cwt.,s./load,s./ton,d./lb.,d./lb.,d./gallon,d./lb.,d./lb.,d./lb.,d./lb.,d./lb.,d./lb.,d./doz.,s./100 faggots,d./ft3
index,farm,arable,pasture,wood,arable,arable,arable,arable,arable,arable,arable,arable,arable,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,wood,wood
1500,8.09,8.81,6.7,3.85,-1,-1,-1,-1,-1,-1,-1,-1,1.28,6.12,0.66,1.07,0.97,2.16,-1,-1,-1,-1,0.55,0.73,8,1.85
1501,9.75,10.77,8.32,3.86,1.06,-1,0.37,0.19,-1,-1,-1,-1,1.31,5.42,-1,1.75,0.97,2.18,-1,-1,-1,-1,0.75,0.69,7.81,1.91
1502,10.21,11.96,8.16,3.9,1.07,-1,0.48,0.22,0.57,0.27,-1,-1,1.31,6.02,0.96,1.12,1.28,2.13,-1,-1,-1,-1,0.75,0.58,7.63,2
1503,9.95,11.87,7.89,3.56,1.15,-1,0.38,0.25,-1,0.28,-1,-1,1.56,6.13,0.94,-1,0.97,2.06,-1,-1,-1,-1,0.76,0.66,7.98,1.59
1504,9.92,11.91,7.72,3.72,0.96,-1,0.48,0.24,0.59,0.38,-1,-1,1.71,6.87,-1,-1,0.97,2.3,-1,-1,-1,-1,0.75,0.7,7.64,1.81
1505,9.87,11.18,7.97,4.29,0.79,-1,0.49,0.27,-1,-1,-1,-1,1.7,7.32,-1,0.97,0.97,2.32,-1,-1,-1,-1,0.75,-1,7.65,2.4
1506,8.94,9.82,7.64,3.63,0.76,-1,0.43,0.21,0.35,0.38,-1,-1,1.23,-1,-1,0.97,1.01,1.97,-1,-1,-1,-1,0.75,0.95,7.31,1.8
1507,8.8,9.18,7.74,4.11,0.77,-1,0.32,0.22,0.48,0.35,-1,-1,1.1,5.29,-1,0.97,1.17,1.92,-1,-1,-1,-1,0.74,0.87,9.24,1.83
1508,8.82,9.62,7.72,3.37,0.77,-1,0.37,0.23,0.42,0.31,-1,-1,1.25,5.91,-1,0.97,0.97,2.16,-1,-1,-1,-1,0.73,0.98,7.05,1.61
1509,7.95,7.64,7.89,3.47,0.41,-1,0.46,0.21,0.48,0.25,-1,-1,1.36,5.38,-1,1.25,0.97,2.39,-1,-1,-1,-1,0.72,0.73,7.12,1.69
1510,7.94,7.31,8.33,3.41,0.44,-1,0.38,0.2,0.46,0.25,-1,-1,1.1,6.66,-1,1.19,1.05,2.54,-1,-1,-1,-1,0.75,0.61,7.28,1.6
1511,8.21,7.9,7.84,4.1,0.59,-1,0.29,0.22,0.37,-1,-1,-1,1.18,7.6,-1,1.26,0.97,2.58,-1,-1,-1,-1,0.63,0.52,7.41,2.27
1512,8.88,9.15,8.03,3.96,0.75,-1,0.32,0.23,0.39,-1,-1,-1,1.28,7,-1,1.17,0.97,2.44,-1,-1,-1,-1,0.71,0.63,8.2,1.91
1513,11.39,15.54,7.75,3.85,1.21,-1,0.74,-1,-1,-1,-1,-1,1.52,5.16,-1,1.17,0.97,2.58,-1,-1,-1,-1,0.71,0.82,7.93,1.87
1514,10.31,12.57,7.96,3.73,0.85,-1,0.68,-1,0.52,-1,-1,-1,1.29,7.08,-1,1.17,0.85,2.54,-1,-1,-1,-1,0.71,0.77,7.68,1.81
1515,8.46,8.81,7.52,3.8,0.68,-1,0.38,-1,0.68,-1,-1,-1,1.39,6.33,0.89,0.56,0.97,2.82,-1,-1,-1,-1,0.71,0.87,7.99,1.81
1516,10.49,12.59,8.21,3.89,0.97,-1,0.6,0.28,0.5,-1,-1,-1,1.36,6.31,-1,1.17,1.05,3.2,-1,-1,-1,-1,0.71,0.62,7.57,2
1517,9.91,9.96,9.2,4.46,0.62,-1,0.49,0.25,0.57,-1,-1,-1,1.66,6.77,-1,1.43,0.97,3.06,-1,-1,-1,-1,0.86,0.62,7.97,2.49
1518,10.67,12.13,8.66,4.48,0.82,-1,0.54,-1,0.71,-1,-1,-1,1.92,9.4,-1,1.17,0.97,3.34,-1,-1,-1,-1,0.71,0.62,8.18,2.45
1519,10.01,11.12,8.47,3.95,0.77,-1,0.46,0.26,0.73,0.38,-1,-1,2.06,7.26,-1,0.97,1.55,2.68,-1,-1,-1,-1,0.71,0.62,8.14,1.92
1520,11.05,13.37,8.61,3.97,1.08,-1,0.54,0.29,0.85,0.73,-1,-1,1.4,8.22,1.06,0.97,1.33,2.99,-1,-1,-1,-1,0.71,0.62,8.31,1.89
1521,12.46,16.51,9.03,3.8,1.25,-1,0.74,0.36,1.13,0.45,-1,-1,2.18,6.16,1.29,1.21,1.41,2.77,-1,-1,-1,-1,0.81,-1,8.3,-1
1522,10.36,13.2,7.5,3.86,1.02,-1,0.57,0.32,0.72,0.32,-1,-1,1.61,5.39,1.11,0.97,1.28,2.44,-1,-1,-1,-1,0.64,-1,8.43,1.77
1523,10.06,11.37,8.36,3.92,0.98,-1,0.4,0.27,0.63,0.4,-1,-1,1.27,5.91,0.64,0.99,1.33,2.89,-1,-1,-1,-1,0.81,0.88,8.45,1.82
1524,9.72,10.6,8.39,3.92,0.9,-1,0.37,0.28,-1,-1,-1,-1,1.28,6.67,-1,0.99,1.21,2.23,-1,-1,-1,-1,0.81,-1,8.09,1.9
1525,9.61,10.41,8.24,4.08,0.71,-1,0.39,0.39,0.71,0.29,-1,-1,1.46,6.38,1,0.78,1.27,2.27,-1,-1,-1,-1,0.81,-1,8.26,2.01
1526,9.39,9.91,8.17,4.32,0.7,-1,0.4,0.28,0.71,0.46,-1,-1,1.27,6.69,0.89,0.97,0.78,2.82,-1,-1,-1,-1,0.81,-1,8.21,2.27
1527,10.93,12.68,8.64,4.6,0.85,-1,0.59,0.33,0.8,0.58,-1,-1,1.76,6.54,-1,1.02,1.21,2.99,-1,-1,-1,-1,0.81,-1,9.18,-1
1528,15.75,23.22,10.54,3.89,2.1,-1,0.93,0.52,1.15,0.78,-1,-1,1.99,7.54,1.26,1.02,2.22,2.61,-1,-1,-1,-1,0.95,2.48,7.77,1.95
1529,12.31,15.53,9.94,3.11,1.25,-1,0.93,0.26,-1,0.62,-1,-1,1.07,5.74,1.09,1.11,-1,2.87,-1,-1,-1,-1,1.06,-1,8.09,1.2
1530,11.84,14.57,9.51,3.49,1.3,-1,0.6,0.33,0.7,0.42,-1,-1,1.13,6.61,0.84,1.04,-1,2.42,-1,-1,-1,-1,1.06,-1,7.76,1.57
1531,11.22,14.81,7.65,4.46,1.36,-1,0.49,0.38,0.56,0.37,-1,-1,1.71,6.05,1.03,0.95,1.26,2.06,-1,-1,-1,-1,0.68,-1,9.3,-1
1532,11.79,15.3,8.79,3.57,1.3,-1,0.61,0.42,-1,0.36,-1,-1,1.59,7.02,1,0.97,-1,2.75,-1,-1,-1,-1,0.82,-1,7.44,1.71
1533,12.88,16.19,9.5,4.77,1.21,-1,0.71,0.4,0.76,0.51,-1,-1,2.16,5.93,-1,0.89,2,3.1,-1,-1,-1,-1,0.82,1.44,7.88,-1
1534,11.55,12.82,9.75,4.65,0.91,-1,0.56,0.35,0.71,0.61,-1,-1,1.61,7.23,-1,0.86,1.76,3.46,-1,-1,-1,-1,0.88,-1,7.69,2.81
1535,12.49,14.14,10.49,4.65,1.21,-1,0.51,0.43,-1,0.43,-1,-1,1.37,6.86,-1,1.17,1.46,3.22,-1,-1,-1,-1,0.97,1.93,7.96,-1
1536,14.09,16.67,11.57,4.6,1.45,-1,0.66,0.38,0.71,0.59,-1,24.48,1.61,8.33,1.19,1.17,1.34,2.87,-1,-1,-1,-1,-1,0.58,7.88,-1
1537,13.11,14.49,11.54,4.55,1.24,-1,0.48,0.42,0.69,0.42,-1,-1,1.78,8.52,1.3,0.97,1.21,3.55,-1,-1,-1,-1,1.26,0.58,7.79,-1
1538,11.34,12.06,9.97,4.82,0.95,-1,0.44,0.33,-1,0.46,-1,-1,1.65,4.94,-1,1.17,1.83,2.77,-1,-1,-1,-1,-1,-1,8.25,2.82
1539,11.22,12.26,9.42,4.99,0.89,-1,0.47,0.36,0.59,0.49,-1,-1,1.92,6.43,-1,1.04,1.36,2.56,-1,-1,-1,-1,-1,-1,8.35,2.98
1540,11.44,12.82,9.72,4.27,0.93,-1,0.6,0.33,-1,0.46,-1,18.25,1.59,6.53,-1,-1,1.58,2.65,-1,-1,-1,-1,-1,-1,8,2.28
1541,13.64,14.19,12.93,4.77,1.1,-1,0.59,0.42,-1,0.48,-1,-1,1.62,9.05,-1,-1,1.83,4.5,-1,-1,-1,-1,-1,-1,9.33,2.44
1542,12.41,14.18,10.46,4.33,1.13,-1,0.57,0.35,0.73,0.6,-1,15.82,1.67,8.88,-1,-1,1.46,3.67,-1,-1,-1,-1,1,-1,8.31,2.26
1543,13.08,15.05,10.54,5.29,1.17,-1,0.69,0.38,1.15,0.58,-1,21.96,1.2,8.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.83,2.85
1544,13.59,14.38,13.53,3.59,1.41,-1,0.4,0.37,0.76,0.53,-1,23.98,1.52,8.34,-1,-1,-1,3.55,-1,-1,-1,-1,-1,-1,8.8,-1
1545,15.25,18.77,12.9,3.65,1.64,-1,-1,0.44,0.93,0.65,-1,25.78,1.52,8.06,-1,-1,1.46,3.34,-1,-1,-1,-1,1.65,-1,8.95,-1
1546,18.64,24.35,15.49,3.54,2.2,-1,1.01,0.56,1.05,0.69,-1,-1,1.83,7.86,-1,-1,2.18,4.26,-1,-1,-1,-1,-1,1.75,8.68,1.44
1547,14.8,14.44,16.39,3.83,0.95,-1,0.7,0.43,0.65,0.51,-1,31.25,1.84,7.59,1.41,1.76,1.7,2.99,0.91,-1,-1,-1,-1,1.6,6.02,2.44
1548,14.19,11.72,17.98,4.93,0.8,-1,0.45,0.36,0.6,0.49,-1,-1,1.86,7.2,-1,2.18,2.17,2.84,1.03,-1,-1,-1,-1,1.46,9.2,-1
1549,16.37,15.06,18.29,5.47,1.26,-1,0.46,0.44,0.76,0.53,-1,42.09,2.01,12.09,1.48,1.98,2.43,-1,1.3,-1,-1,-1,1.15,1.69,10.22,2.93
1550,20.63,23.15,18.99,5.55,2.01,-1,0.57,0.98,1.81,1.05,-1,47.19,2.43,12.5,1.68,2.31,2.6,3.98,-1,-1,-1,-1,-1,1.75,11.69,2.64
1551,24.03,28.13,22.17,5.18,2.62,-1,0.91,0.75,1.31,1.21,-1,-1,2.77,15.25,-1,-1,2.72,6.66,-1,-1,-1,-1,-1,2.91,9.43,2.85
1552,20.6,21.02,19.93,7.32,1.97,-1,0.46,0.69,1.47,1.03,-1,-1,3.42,12.14,-1,-1,3.16,6.35,-1,-1,-1,-1,-1,-1,10.66,5.03
1553,20.12,20.29,20.14,6.6,1.47,-1,0.78,0.68,0.88,0.85,-1,-1,2.97,14.42,-1,-1,2.7,4.55,-1,-1,-1,-1,-1,2.33,11.9,3.66
1554,21.55,22.48,20.33,7.58,1.49,-1,0.92,0.83,1.44,0.71,-1,22.01,3.52,11.75,-1,3.26,2.91,2.94,-1,-1,-1,-1,-1,2.04,13.08,4.4
1555,28.42,34.17,23.45,8.39,1.95,-1,-1,0.84,1.64,0.84,-1,-1,4.19,21.15,-1,-1,3.21,3.93,-1,-1,-1,-1,-1,2.91,13.35,5.28
1556,32.34,41.03,26.84,7.14,3.1,-1,2.66,0.91,2.73,1.69,-1,26.48,2.24,18.79,-1,2.81,3.4,3.79,-1,-1,-1,-1,3.4,2.48,11.56,-1
1557,32.6,43.77,25.72,6.63,2.9,-1,2.12,1.66,3.57,2.42,-1,36.9,3.7,-1,-1,-1,3.7,6.21,-1,-1,-1,-1,-1,2.91,10.73,4.09
1558,20.43,18.94,22.73,6.7,1.3,-1,0.78,0.57,1.22,0.62,-1,24.11,3.06,12.12,2.32,-1,3.24,6.44,1.14,-1,-1,-1,2.75,2.65,11.71,3.83
1559,22.41,24.26,20.64,7.2,1.71,-1,1.34,0.6,0.93,0.78,-1,25.26,2.58,10.48,2.36,2.06,3.15,3.39,-1,-1,-1,-1,2.52,2.45,14.48,3.58
1560,22.38,22.08,23.35,6.95,1.79,-1,-1,0.6,1.2,0.84,-1,31.12,3.33,15.58,1.8,3.04,3.54,4.43,-1,-1,-1,-1,-1,3.6,12.92,3.73
1561,25.27,27.43,22.62,9,2.15,-1,1,0.81,1.37,1.32,-1,40.23,3.29,16.7,-1,2.84,3.24,3.63,-1,-1,-1,-1,-1,2.36,17.36,4.67
1562,25.45,27.79,24.24,6.86,2.18,-1,0.79,0.89,2.37,1.28,-1,42.81,4.77,20.63,-1,2.84,3.64,5.21,-1,-1,-1,-1,2.39,2.48,10.34,4.55
1563,27.04,31.3,23.56,7.76,2.14,-1,1.22,0.79,2.21,1.37,-1,38.6,6.94,19.8,2.12,3.35,3.65,3.55,1.29,-1,-1,-1,1.67,2.91,12.16,4.96
1564,28.01,31.05,26.11,7.62,2.44,-1,1.05,0.75,1.57,1.17,-1,85.66,5.3,20.91,2.51,2.85,3.41,4.08,1.25,-1,-1,-1,3.49,2.61,12.04,4.83
1565,22.58,22.65,23.14,6.94,1.6,-1,1.04,0.54,1.01,0.68,-1,38.34,3.57,16.64,1.85,2.53,3.26,3.79,1.21,-1,-1,-1,2.78,3.31,10.83,4.44
1566,24.78,25.07,24.97,7.81,1.81,-1,0.94,0.84,1.3,1.06,-1,24.09,3.76,19.09,2.08,2.4,3.16,5.19,1.29,-1,-1,-1,2.92,2.51,14.13,4.32
1567,23.75,24.76,23.04,7.48,1.73,-1,0.91,0.75,1.4,1,-1,53.37,4.29,23.49,1.96,2.27,3.15,-1,-1,-1,-1,-1,2.36,2.18,12.33,4.53
1568,26.65,28.65,25.97,7.07,1.61,-1,1.68,0.84,1.65,1.07,-1,64.44,4.35,24.74,2.04,2.33,3.15,6.47,-1,-1,-1,-1,2.73,2.7,12.4,4.04
1569,27.09,27.74,26.74,8.73,1.71,-1,1.37,0.81,1.43,1.09,-1,60.41,4.35,21.68,2.15,2.49,2.93,5.47,1.71,-1,-1,-1,2.09,2.61,16.69,4.57
1570,23.07,22.28,23.5,8.78,1.71,-1,0.75,0.68,1.18,0.76,-1,80.78,3.01,16.02,1.83,2.96,2.66,5.52,1.25,-1,-1,-1,2.5,2.33,17.27,4.46
1571,22.24,20.94,23.5,8.31,1.48,-1,0.75,0.67,1.13,0.73,-1,54.63,3.44,15.58,2.04,-1,2.91,4.36,1.21,-1,-1,-1,2.72,3.78,14.21,4.86
1572,24.66,25.6,23.88,8.02,1.89,-1,1,0.71,1.16,0.7,-1,63.93,3.89,16.05,1.95,2.84,2.91,5.54,1.23,-1,-1,-1,2.66,2.52,14.63,4.39
1573,25.19,28.01,22.89,7.48,2.06,-1,1.05,0.75,2.01,1.2,-1,54.29,4.2,20.54,1.78,-1,-1,4.67,1.22,-1,-1,-1,2.64,-1,13.29,4.21
1574,30.36,36.77,26.71,6.7,2.92,-1,1.52,0.88,2.16,1.53,-1,57.1,3.86,17.25,2.63,3.1,2.95,5.19,1.45,-1,-1,-1,2.92,3.52,12.12,3.7
1575,25.21,25.8,25.44,7.46,1.97,-1,0.94,0.72,1.75,1.15,-1,40.28,3.44,23.57,1.91,2.14,2.91,5.35,1.38,-1,-1,-1,2.74,2.25,13.02,4.27
1576,26.96,28.48,26.3,7.8,2.19,-1,1.2,0.73,1.36,0.89,-1,42.63,3.39,20.37,2.4,2.62,2.85,5.43,1.41,-1,-1,-1,2.92,-1,12.47,4.88
1577,28.88,31.4,27.21,8.31,2.45,-1,1.27,0.78,1.43,1.09,-1,43.99,4.04,20.58,2.38,3.11,3.07,5.95,1.43,-1,-1,-1,2.78,2.65,14.76,4.68
1578,27.59,28.55,27.16,8.51,2.2,-1,1.11,0.77,1.49,1.04,-1,37.49,3.73,21.07,1.99,3.2,3.02,6.02,1.46,-1,-1,-1,2.92,2.19,15.06,4.81
1579,26.13,26.5,27.19,7.16,2.1,-1,1.01,0.61,1.5,0.85,-1,37.47,3.98,18.12,2.14,2.85,3.4,6.21,1.43,-1,-1,-1,3.28,2.68,12.94,3.96
1580,26.66,27.15,26.61,8.42,1.88,-1,0.99,0.85,1.64,1.07,-1,81.17,4.54,23.48,2.18,2.6,3.11,6.63,1.4,-1,-1,-1,2.46,1.94,14.17,5.01
1581,28.91,32.38,25.82,8.87,2.53,-1,1.34,0.68,1.45,0.99,-1,57.16,4.9,17.82,2.15,2.68,3.1,6.09,1.34,-1,-1,-1,3.09,2.11,15.44,5.09
1582,28.27,30.38,26.75,8.49,2.37,-1,1.09,0.75,1.74,1.18,-1,54.13,4.67,20.37,2.21,2.64,4.1,5.54,1.41,-1,-1,-1,2.75,1.88,15.25,4.72
1583,27.76,28.75,27.34,8.51,2.11,-1,1.07,0.83,1.67,1.12,-1,44.11,4.45,23.17,2.23,3.12,3.82,6.28,1.31,-1,-1,-1,2.83,1.92,13.91,5.21
